PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
25241964,,NA,,Exosomes: novel effectors of human platelet lysate activity.,,,,,
25242326,,NA,,Nontemplated nucleotide additions distinguish the small RNA composition in cells from exosomes.,,,,,
25246552,,NA,,Modeling putative therapeutic implications of exosome exchange between tumor and immune cells.,,,,,
25261234,,NA,,Cellular disposal of miR23b by RAB27-dependent exosome release is linked to acquisition of metastatic properties.,,,,,
25265333,,Yes,,Quantitative proteomic analysis of exosome protein content changes induced by hepatitis B virus in Huh-7 cells using SILAC labeling and LC-MS/MS.,,,,,
25267620,,NA,,Quantitative and stoichiometric analysis of the microRNA content of exosomes.,,,,,
25268461,,NA,,Exploring the human mesenchymal stem cell tubule communication network through electron microscopy.,,,,,
25268476,,Yes,,Prostate tumor-derived exosomes down-regulate NKG2D expression on natural killer cells and CD8+ T cells: mechanism of immune evasion.,,,,,
25269776,,NA,,"Identification of microRNAs in exosomes isolated from serum and umbilical cord blood, as well as placentomes of gestational day 90 pregnant sheep.",,,,,
25273530,,NA,,Human exosomal placenta-associated miR-517a-3p modulates the expression of PRKG1 mRNA in Jurkat cells.,,,,,
25275511,,NA,,"Development of glomerulus-, tubule-, and collecting duct-specific mRNA assay in human urinary exosomes and microvesicles.",,,,,
25275643,,NA,,Exosomes from hepatitis C infected patients transmit HCV infection and contain replication competent viral RNA in complex with Ago2-miR122-HSP90.,,,,,
25290620,,Yes,,Pancreatic cancer derived exosomes regulate the expression of TLR4 in dendritic cells via miR-203.,,,,,
25310591,,NA,,Urinary exosomes: a novel means to non-invasively assess changes in renal gene and protein expression.,,,,,
25311367,,Yes,,Mast cell exosomes promote lung adenocarcinoma cell proliferation - role of KIT-stem cell factor signaling.,,,,,
25317276,,NA,,Importance of exosome depletion protocols to eliminate functional and RNA-containing extracellular vesicles from fetal bovine serum.,,,,,
25330118,,Yes,,Antigen transfer from exosomes to dendritic cells as an explanation for the immune enhancement seen by IgE immune complexes.,,,,,
25330373,,NA,,Deep sequencing of RNA from three different extracellular vesicle (EV) subtypes released from the human LIM1863 colon cancer cell line uncovers distinct miRNA-enrichment signatures.,,,,,
25332113,,NA,,Lipidomic and proteomic characterization of platelet extracellular vesicle subfractions from senescent platelets.,,,,,
25333260,,NA,,Increased serum levels of circulating exosomal microRNA-373 in receptor-negative breast cancer patients.,,,,,
25355568,,No,,Exosomes in urine biomarker discovery.,,,,,
25355928,,NA,,Pancreatic Cancer-Derived Exosomes Cause Paraneoplastic β-cell Dysfunction.,,,,,
25374572,,NA,,Update on controls for isolation and quantification methodology of extracellular vesicles derived from adipose tissue mesenchymal stem cells.,,,,,
25386348,,NA,,Extracellular vesicles in hematological disorders.,,,,,
25393546,,NA,,Quantitative analysis of tissue distribution of the B16BL6-derived exosomes using a streptavidin-lactadherin fusion protein and iodine-125-labeled biotin derivative after intravenous injection in mice.,,,,,
25398455,,NA,,Exosomes secreted by cortical neurons upon glutamatergic synapse activation specifically interact with neurons.,,,,,
25412325,,NA,,Therapeutic potential of human adipose-derived stem cells (ADSCs) from cancer patients: a pilot study.,,,,,
25417103,,Yes,,Exosome transfer from stromal to breast cancer cells regulates therapy resistance pathways.,,,,,
25418078,,NA,,Horse adipose-derived mesenchymal stromal cells constitutively produce membrane vesicles: a morphological study.,,,,,
25420022,,NA,,Cerebrospinal fluid extracellular vesicles undergo age dependent declines and contain known and novel non-coding RNAs.,,,,,
25421927,,Yes,,Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity.,,,,,
25425650,,NA,,Acceleration of α-synuclein aggregation by exosomes.,,,,,
25428807,,Yes,,Exosome-mediated transfer of miR-10b promotes cell invasion in breast cancer.,,,,,
25429310,,NA,,Extracellular Vesicles in Heart Disease: Excitement for the Future ?,,,,,
25445383,,NA,,Identification of cell-free microRNAs in the urine of patients with prostate cancer.,,,,,
25447848,,Yes,,"Hepatitis C virus infection induces autocrine interferon signaling by human liver endothelial cells and release of exosomes, which inhibits viral replication.",,,,,
25470250,,No,,Circulating extracellular vesicles with specific proteome and liver microRNAs are potential biomarkers for liver injury in experimental fatty liver disease.,,,,,
25478574,,NA,,Increased DJ-1 in urine exosome of Korean males with Parkinson's disease.,,,,,
25503309,,NA,,Altered microRNA expression profile in exosomes during osteogenic differentiation of human bone marrow-derived mesenchymal stem cells.,,,,,
25503676,,NA,,Vps4A functions as a tumor suppressor by regulating the secretion and uptake of exosomal microRNAs in human hepatoma cells.,,,,,
25505060,,Yes,,Virion-independent transfer of replication-competent hepatitis C virus RNA between permissive cells.,,,,,
25505237,,NA,,Effect of nasopharyngeal carcinoma-derived exosomes on human regulatory T cells.,,,,,
25510783,,NA,,MicroRNA in exosomes isolated directly from the liver circulation in patients with metastatic uveal melanoma.,,,,,
25514462,,Yes,,Claudin-7 promotes the epithelial-mesenchymal transition in human colorectal cancer.,,,,,
25522782,,Yes,,Inhibition of porcine reproductive and respiratory syndrome virus infection by recombinant adenovirus- and/or exosome-delivered the artificial microRNAs targeting sialoadhesin and CD163 receptors.,,,,,
25523519,,No,,Biodistribution and delivery efficiency of unmodified tumor-derived exosomes.,,,,,
25525832,,NA,,Human mesenchymal stroma/stem cells exchange membrane proteins and alter functionality during interaction with different tumor cell lines.,,,,,
25526899,,NA,,"Exosomes, endogenous retroviruses and toll-like receptors: pregnancy recognition in ewes.",,,,,
25533220,,Yes,,Cardiac endothelial cell-derived exosomes induce specific regulatory B cells.,,,,,
25533679,,No,,Intracellular pathways following uptake of bevacizumab in RPE cells.,,,,,
25542098,,NA,,PTEN secretion in exosomes.,,,,,
25545008,,NA,,"Differences between disease-associated endoplasmic reticulum aminopeptidase 1 (ERAP1) isoforms in cellular expression, interactions with tumour necrosis factor receptor 1 (TNF-R1) and regulation by cytokines.",,,,,
25551548,,NA,,Exosome-dependent and independent mechanisms are involved in prion-like transmission of propagated Cu/Zn superoxide dismutase misfolding.,,,,,
25557794,,Yes,,Tumour cell-derived extracellular vesicles interact with mesenchymal stem cells to modulate the microenvironment and enhance cholangiocarcinoma growth.,,,,,
25559219,,NA,,Analysis of exosome purification methods using a model liposome system and tunable-resistive pulse sensing.,,,,,
25568317,,Yes,,The αvβ6 integrin is transferred intercellularly via exosomes.,,,,,
25579119,,NA,,"The passenger strand, miR-21-3p, plays a role in mediating cisplatin resistance in ovarian cancer cells.",,,,,
25590961,,NA,,Exosomes secreted from GATA-4 overexpressing mesenchymal stem cells serve as a reservoir of anti-apoptotic microRNAs for cardioprotection.,,,,,
25593928,,NA,,Perturbations in the urinary exosome in transplant rejection.,,,,,
25594007,,NA,,"Highly skewed distribution of miRNAs and proteins between colorectal cancer cells and their exosomes following Cetuximab treatment: biomolecular, genetic and translational implications.",,,,,
25594326,,NA,,Effect of exosomes derived from multipluripotent mesenchymal stromal cells on functional recovery and neurovascular plasticity in rats after traumatic brain injury.,,,,,
25603952,,Yes,,Exosomal Hsp70 mediates immunosuppressive activity of the myeloid-derived suppressor cells via phosphorylation of Stat3.,,,,,
25609010,,NA,,Exosome delivered anticancer drugs across the blood-brain barrier for brain cancer therapy in Danio rerio.,,,,,
25609736,,NA,,"Diabetic nephropathy is associated with increased urine excretion of proteases plasmin, prostasin and urokinase and activation of amiloride-sensitive current in collecting duct cells.",,,,,
25617225,,NA,,Exosome secretion by eosinophils: A possible role in asthma pathogenesis.,,,,,
25619138,,NA,,Human aqueous humor exosomes.,,,,,
25628216,,Yes,,Exosome-mediated inflammasome signaling after central nervous system injury.,,,,,
25633184,,NA,,Caveolin-1 accumulation in the tongue cancer tumor microenvironment is significantly associated with poor prognosis: an in-vivo and in-vitro study.,,,,,
25638205,,Yes,,Exosomes released from human induced pluripotent stem cells-derived MSCs facilitate cutaneous wound healing by promoting collagen synthesis and angiogenesis.,,,,,
25644060,,Yes,,Chronic myeloid leukemia-derived exosomes promote tumor growth through an autocrine mechanism.,,,,,
25649248,,No,,A comparison of two cellular delivery mechanisms for small interfering RNA.,,,,,
25653768,,NA,,Phenotypic modulation of auto-reactive cells by insertion of tolerogenic molecules via MSC-derived exosomes.,,,,,
25657008,,NA,,Stabilization of exosome-targeting peptides via engineered glycosylation.,,,,,
25669322,,NA,,Macrophage-dependent clearance of systemically administered B16BL6-derived exosomes from the blood circulation in mice.,,,,,
25669974,,NA,,"Extracellular vesicles from bone marrow mesenchymal stem/stromal cells transport tumor regulatory microRNA, proteins, and metabolites.",,,,,
25673258,,Yes,,Intercellular transfer of messenger RNAs in multiorgan tumorigenesis by tumor cell-derived exosomes.,,,,,
25713383,,NA,,Differential fates of biomolecules delivered to target cells via extracellular vesicles.,,,,,
25732677,,No,,Heparanase activates the syndecan-syntenin-ALIX exosome pathway.,,,,,
25735706,,No,,Exosomal proteins as potential diagnostic markers in advanced non-small cell lung carcinoma.,,,,,
25753779,,NA,,Exosomal RNA from Mycobacterium tuberculosis-Infected Cells Is Functional in Recipient Macrophages.,,,,,
25762736,,NA,,Tristetraprolin Recruits the Herpes Simplex Virion Host Shutoff RNase to AU-Rich Elements in Stress Response mRNAs To Enable Their Cleavage.,,,,,
25772109,,NA,,The non-targeted effects of radiation are perpetuated by exosomes.,,,,,
25776846,,NA,,Human thymic epithelial primary cells produce exosomes carrying tissue-restricted antigens.,,,,,
25798862,,NA,,Improved characterization of EV preparations based on protein to lipid ratio and lipid properties.,,,,,
25798887,,NA,,Exosomes released from breast cancer carcinomas stimulate cell movement.,,,,,
25808106,,Yes,,Macrophages play an essential role in antigen-specific immune suppression mediated by T CD8⁺ cell-derived exosomes.,,,,,
25819213,,NA,,Extracellular vesicle-depleted fetal bovine and human sera have reduced capacity to support cell growth.,,,,,
25820723,,NA,,"A protocol for exosome isolation and characterization: evaluation of ultracentrifugation, density-gradient separation, and immunoaffinity capture methods.",,,,,
25821114,,NA,,Size and shape characterization of hydrated and desiccated exosomes.,,,,,
25822997,,NA,,Commercial cow milk contains physically stable extracellular vesicles expressing immunoregulatory TGF-β.,,,,,
25824139,,Yes,,Human umbilical cord mesenchymal stem cell exosomes enhance angiogenesis through the Wnt4/β-catenin pathway.,,,,,
25824442,,Yes,,Cardiosome mediated regulation of MMP9 in diabetic heart: role of mir29b and mir455 in exercise.,,,,,
25832648,,NA,,Loss of miR-200 family in 5-fluorouracil resistant colon cancer drives lymphendothelial invasiveness in vitro.,,,,,
25833224,,NA,,Simplified protocol for flow cytometry analysis of fluorescently labeled exosomes and microvesicles using dedicated flow cytometer.,,,,,
25855345,,Yes,,Exosome-like vesicles derived by Schistosoma japonicum adult worms mediates M1 type immune- activity of macrophage.,,,,,
25857301,,NA,,Large oncosomes contain distinct protein cargo and represent a separate functional class of tumor-derived extracellular vesicles.,,,,,
25857718,,Yes,,Proteomic analysis of exosomes from nasopharyngeal carcinoma cell identifies intercellular transfer of angiogenic proteins.,,,,,
25860935,,Yes,,Endothelial exosomes contribute to the antitumor response during breast cancer neoadjuvant chemotherapy via microRNA transfer.,,,,,
25880110,,NA,,Exosomes in human semen restrict HIV-1 transmission by vaginal cells and block intravaginal replication of LP-BM5 murine AIDS virus complex.,,,,,
25880779,,Yes,,Horizontal transfer of exosomal microRNAs transduce apoptotic signals between pancreatic beta-cells.,,,,,
